"Country","Start Date","End Date"
"AFG","2020-01-22","2020-08-05"
"AGO","2020-03-22","2020-08-05"
"ALB","2020-03-09","2020-08-05"
"AND","2020-03-03","2020-08-05"
"ARE","2020-01-22","2020-08-05"
"ARG","2020-02-11","2020-08-05"
"ARM","2020-01-22","2020-08-05"
"ATG","2020-03-15","2020-08-05"
"AUS","2020-01-22","2020-08-05"
"AUT","2020-01-22","2020-08-05"
"AZE","2020-01-22","2020-08-05"
"BEL","2020-01-22","2020-08-05"
"BEN","2020-03-17","2020-08-05"
"BFA","2020-03-11","2020-08-05"
"BGD","2020-03-04","2020-08-05"
"BGR","2020-03-08","2020-08-05"
"BHR","2020-01-22","2020-08-05"
"BHS","2020-03-16","2020-08-05"
"BIH","2020-03-06","2020-08-05"
"BLR","2020-01-22","2020-08-05"
"BLZ","2020-03-24","2020-08-05"
"BOL","2020-03-12","2020-08-05"
"BRA","2020-01-22","2020-08-05"
"BRB","2020-03-18","2020-08-05"
"BRN","2020-03-10","2020-08-05"
"BTN","2020-03-06","2020-08-05"
"CAF","2020-03-16","2020-08-05"
"CAN","2020-01-22","2020-08-05"
"CHE","2020-01-22","2020-08-05"
"CHL","2020-03-04","2020-08-05"
"CHN","2020-01-22","2020-08-05"
"CMR","2020-03-07","2020-08-05"
"COL","2020-03-05","2020-08-05"
"CRI","2020-03-07","2020-08-05"
"CUB","2020-03-12","2020-08-05"
"CYP","2020-03-10","2020-08-05"
"DEU","2020-01-22","2020-08-05"
"DJI","2020-03-19","2020-08-05"
"DMA","2020-03-23","2020-08-05"
"DNK","2020-01-22","2020-08-05"
"DOM","2020-01-22","2020-08-05"
"DZA","2020-01-22","2020-08-05"
"ECU","2020-01-22","2020-08-05"
"EGY","2020-01-22","2020-08-05"
"ERI","2020-03-22","2020-08-05"
"ESP","2020-01-22","2020-08-05"
"EST","2020-01-22","2020-08-05"
"ETH","2020-03-14","2020-08-05"
"FIN","2020-01-22","2020-08-05"
"FJI","2020-01-30","2020-08-05"
"FRA","2020-01-22","2020-08-05"
"GAB","2020-03-13","2020-08-05"
"GBR","2020-01-22","2020-08-05"
"GEO","2020-01-22","2020-08-05"
"GHA","2020-03-13","2020-08-05"
"GIN","2020-03-14","2020-08-05"
"GMB","2020-03-18","2020-08-05"
"GNB","2020-03-27","2020-08-05"
"GNQ","2020-03-15","2020-08-05"
"GRC","2020-01-22","2020-08-05"
"GRD","2020-03-23","2020-08-05"
"GTM","2020-03-15","2020-08-05"
"GUY","2020-03-13","2020-08-05"
"HND","2020-03-12","2020-08-05"
"HRV","2020-01-22","2020-08-05"
"HTI","2020-03-20","2020-08-05"
"HUN","2020-03-04","2020-08-05"
"IDN","2020-01-22","2020-08-05"
"IND","2020-01-22","2020-08-05"
"IRL","2020-01-22","2020-08-05"
"IRN","2020-01-22","2020-08-05"
"IRQ","2020-01-22","2020-08-05"
"ISL","2020-01-22","2020-08-05"
"ISR","2020-01-22","2020-08-05"
"ITA","2020-01-22","2020-08-05"
"JAM","2020-03-12","2020-08-05"
"JOR","2020-03-03","2020-08-05"
"JPN","2020-01-22","2020-08-05"
"KAZ","2020-03-13","2020-08-05"
