"Country","Start Date","End Date"
"Afghanistan","2020-01-22","2020-07-21"
"Albania","2020-01-22","2020-07-21"
"Algeria","2020-01-22","2020-07-21"
"Andorra","2020-01-22","2020-07-21"
"Angola","2020-01-22","2020-07-21"
"Antigua and Barbuda","2020-01-22","2020-07-21"
"Argentina","2020-01-22","2020-07-21"
"Armenia","2020-01-22","2020-07-21"
"Australia","2020-01-22","2020-07-21"
"Austria","2020-01-22","2020-07-21"
"Azerbaijan","2020-01-22","2020-07-21"
"Bahamas","2020-01-22","2020-07-21"
"Bahrain","2020-01-22","2020-07-21"
"Bangladesh","2020-01-22","2020-07-21"
"Barbados","2020-01-22","2020-07-21"
"Belarus","2020-01-22","2020-07-21"
"Belgium","2020-01-22","2020-07-21"
"Belize","2020-01-22","2020-07-21"
"Benin","2020-01-22","2020-07-21"
"Bhutan","2020-01-22","2020-07-21"
"Bolivia","2020-01-22","2020-07-21"
"Bosnia and Herzegovina","2020-01-22","2020-07-21"
"Botswana","2020-01-22","2020-07-21"
"Brazil","2020-01-22","2020-07-21"
"Brunei","2020-01-22","2020-07-21"
"Bulgaria","2020-01-22","2020-07-21"
"Burkina Faso","2020-01-22","2020-07-21"
"Burma","2020-01-22","2020-07-21"
"Burundi","2020-01-22","2020-07-21"
"Cabo Verde","2020-01-22","2020-07-21"
"Cambodia","2020-01-22","2020-07-21"
"Cameroon","2020-01-22","2020-07-21"
"Canada","2020-01-22","2020-07-21"
"Central African Republic","2020-01-22","2020-07-21"
"Chad","2020-01-22","2020-07-21"
"Chile","2020-01-22","2020-07-21"
"China","2020-01-22","2020-07-21"
"Colombia","2020-01-22","2020-07-21"
"Comoros","2020-01-22","2020-07-21"
"Congo (Brazzaville)","2020-01-22","2020-07-21"
"Congo (Kinshasa)","2020-01-22","2020-07-21"
"Costa Rica","2020-01-22","2020-07-21"
"Cote d'Ivoire","2020-01-22","2020-07-21"
"Croatia","2020-01-22","2020-07-21"
"Cuba","2020-01-22","2020-07-21"
"Cyprus","2020-01-22","2020-07-21"
"Czechia","2020-01-22","2020-07-21"
"Denmark","2020-01-22","2020-07-21"
"Diamond Princess","2020-01-22","2020-07-21"
"Djibouti","2020-01-22","2020-07-21"
"Dominica","2020-01-22","2020-07-21"
"Dominican Republic","2020-01-22","2020-07-21"
"Ecuador","2020-01-22","2020-07-21"
"Egypt","2020-01-22","2020-07-21"
"El Salvador","2020-01-22","2020-07-21"
"Equatorial Guinea","2020-01-22","2020-07-21"
"Eritrea","2020-01-22","2020-07-21"
"Estonia","2020-01-22","2020-07-21"
"Eswatini","2020-01-22","2020-07-21"
"Ethiopia","2020-01-22","2020-07-21"
"Fiji","2020-01-22","2020-07-21"
"Finland","2020-01-22","2020-07-21"
"France","2020-01-22","2020-07-21"
"Gabon","2020-01-22","2020-07-21"
"Gambia","2020-01-22","2020-07-21"
"Georgia","2020-01-22","2020-07-21"
"Germany","2020-01-22","2020-07-21"
"Ghana","2020-01-22","2020-07-21"
"Greece","2020-01-22","2020-07-21"
"Grenada","2020-01-22","2020-07-21"
"Guatemala","2020-01-22","2020-07-21"
"Guinea","2020-01-22","2020-07-21"
"Guinea-Bissau","2020-01-22","2020-07-21"
"Guyana","2020-01-22","2020-07-21"
"Haiti","2020-01-22","2020-07-21"
"Holy See","2020-01-22","2020-07-21"
"Honduras","2020-01-22","2020-07-21"
"Hungary","2020-01-22","2020-07-21"
"Iceland","2020-01-22","2020-07-21"
"India","2020-01-22","2020-07-21"
"Indonesia","2020-01-22","2020-07-21"
"Iran","2020-01-22","2020-07-21"
"Iraq","2020-01-22","2020-07-21"
"Ireland","2020-01-22","2020-07-21"
"Israel","2020-01-22","2020-07-21"
"Italy","2020-01-22","2020-07-21"
"Jamaica","2020-01-22","2020-07-21"
"Japan","2020-01-22","2020-07-21"
"Jordan","2020-01-22","2020-07-21"
"Kazakhstan","2020-01-22","2020-07-21"
"Kenya","2020-01-22","2020-07-21"
"Korea, South","2020-01-22","2020-07-21"
"Kosovo","2020-01-22","2020-07-21"
"Kuwait","2020-01-22","2020-07-21"
"Kyrgyzstan","2020-01-22","2020-07-21"
"Laos","2020-01-22","2020-07-21"
"Latvia","2020-01-22","2020-07-21"
"Lebanon","2020-01-22","2020-07-21"
"Lesotho","2020-01-22","2020-07-21"
"Liberia","2020-01-22","2020-07-21"
"Libya","2020-01-22","2020-07-21"
"Liechtenstein","2020-01-22","2020-07-21"
"Lithuania","2020-01-22","2020-07-21"
"Luxembourg","2020-01-22","2020-07-21"
"MS Zaandam","2020-01-22","2020-07-21"
"Madagascar","2020-01-22","2020-07-21"
"Malawi","2020-01-22","2020-07-21"
"Malaysia","2020-01-22","2020-07-21"
"Maldives","2020-01-22","2020-07-21"
"Mali","2020-01-22","2020-07-21"
"Malta","2020-01-22","2020-07-21"
"Mauritania","2020-01-22","2020-07-21"
"Mauritius","2020-01-22","2020-07-21"
"Mexico","2020-01-22","2020-07-21"
"Moldova","2020-01-22","2020-07-21"
"Monaco","2020-01-22","2020-07-21"
"Mongolia","2020-01-22","2020-07-21"
"Montenegro","2020-01-22","2020-07-21"
"Morocco","2020-01-22","2020-07-21"
"Mozambique","2020-01-22","2020-07-21"
"Namibia","2020-01-22","2020-07-21"
"Nepal","2020-01-22","2020-07-21"
"Netherlands","2020-01-22","2020-07-21"
"New Zealand","2020-01-22","2020-07-21"
"Nicaragua","2020-01-22","2020-07-21"
"Niger","2020-01-22","2020-07-21"
"Nigeria","2020-01-22","2020-07-21"
"North Macedonia","2020-01-22","2020-07-21"
"Norway","2020-01-22","2020-07-21"
"Oman","2020-01-22","2020-07-21"
"Pakistan","2020-01-22","2020-07-21"
"Panama","2020-01-22","2020-07-21"
"Papua New Guinea","2020-01-22","2020-07-21"
"Paraguay","2020-01-22","2020-07-21"
"Peru","2020-01-22","2020-07-21"
"Philippines","2020-01-22","2020-07-21"
"Poland","2020-01-22","2020-07-21"
"Portugal","2020-01-22","2020-07-21"
"Qatar","2020-01-22","2020-07-21"
"Romania","2020-01-22","2020-07-21"
"Russia","2020-01-22","2020-07-21"
"Rwanda","2020-01-22","2020-07-21"
"Saint Kitts and Nevis","2020-01-22","2020-07-21"
"Saint Lucia","2020-01-22","2020-07-21"
"Saint Vincent and the Grenadines","2020-01-22","2020-07-21"
"San Marino","2020-01-22","2020-07-21"
"Sao Tome and Principe","2020-01-22","2020-07-21"
"Saudi Arabia","2020-01-22","2020-07-21"
"Senegal","2020-01-22","2020-07-21"
"Serbia","2020-01-22","2020-07-21"
"Seychelles","2020-01-22","2020-07-21"
"Sierra Leone","2020-01-22","2020-07-21"
"Singapore","2020-01-22","2020-07-21"
"Slovakia","2020-01-22","2020-07-21"
"Slovenia","2020-01-22","2020-07-21"
"Somalia","2020-01-22","2020-07-21"
"South Africa","2020-01-22","2020-07-21"
"South Sudan","2020-01-22","2020-07-21"
"Spain","2020-01-22","2020-07-21"
"Sri Lanka","2020-01-22","2020-07-21"
"Sudan","2020-01-22","2020-07-21"
"Suriname","2020-01-22","2020-07-21"
"Sweden","2020-01-22","2020-07-21"
"Switzerland","2020-01-22","2020-07-21"
"Syria","2020-01-22","2020-07-21"
"Taiwan*","2020-01-22","2020-07-21"
"Tajikistan","2020-01-22","2020-07-21"
"Tanzania","2020-01-22","2020-07-21"
"Thailand","2020-01-22","2020-07-21"
"Timor-Leste","2020-01-22","2020-07-21"
"Togo","2020-01-22","2020-07-21"
"Trinidad and Tobago","2020-01-22","2020-07-21"
"Tunisia","2020-01-22","2020-07-21"
"Turkey","2020-01-22","2020-07-21"
"US","2020-01-22","2020-07-21"
"Uganda","2020-01-22","2020-07-21"
"Ukraine","2020-01-22","2020-07-21"
"United Arab Emirates","2020-01-22","2020-07-21"
"United Kingdom","2020-01-22","2020-07-21"
"Uruguay","2020-01-22","2020-07-21"
"Uzbekistan","2020-01-22","2020-07-21"
"Venezuela","2020-01-22","2020-07-21"
"Vietnam","2020-01-22","2020-07-21"
"West Bank and Gaza","2020-01-22","2020-07-21"
"Western Sahara","2020-01-22","2020-07-21"
"Yemen","2020-01-22","2020-07-21"
"Zambia","2020-01-22","2020-07-21"
"Zimbabwe","2020-01-22","2020-07-21"
